"X","Y","Z","Acc","Time"
"-5.8","8.0","5.9","11.5","66.3"
"-4.7","6.4","4.7","9.2","66.3"
"-3.8","5.2","3.7","7.4","66.3"
"-3.1","4.2","3.0","6.0","66.3"
"-2.4","3.3","2.5","4.8","66.4"
"-1.9","2.6","1.8","3.7","66.4"
"-1.5","2.2","1.5","3.1","66.4"
"-1.3","1.7","1.2","2.5","66.4"
"-1.0","1.4","0.9","1.9","66.4"
"-0.8","1.1","0.7","1.5","66.5"
"-0.7","0.8","0.6","1.2","66.5"
"-0.5","0.6","0.5","0.9","66.5"
"-0.4","0.5","0.4","0.8","66.5"
"-0.3","0.4","0.3","0.6","66.5"
"-0.2","0.3","0.3","0.5","66.6"
"-0.2","0.2","0.4","0.5","66.6"
"-0.2","0.1","0.4","0.5","66.6"
"-0.1","0.0","0.3","0.3","66.6"
"-0.1","0.1","0.2","0.2","66.6"
"-0.1","0.1","0.0","0.1","66.7"
"-0.1","0.3","-0.6","0.7","66.7"
"-0.2","-0.3","-0.2","0.4","66.7"
"-0.7","-0.7","0.0","1.0","66.7"
"-0.4","-0.2","-0.3","0.5","66.7"
"-0.1","-0.1","-0.3","0.3","66.8"
"0.3","-0.2","0.2","0.4","66.8"
"0.1","-0.3","0.6","0.7","66.8"
"0.5","0.2","0.3","0.6","66.8"
"0.6","0.3","0.2","0.7","66.8"
"0.3","-0.1","0.2","0.4","66.8"
"0.6","-0.1","0.7","0.9","66.9"
"1.2","0.3","1.3","1.8","66.9"
"1.0","0.5","0.4","1.2","66.9"
"0.7","0.3","-0.4","0.9","66.9"
"-0.4","-0.3","-0.5","0.7","66.9"
"-0.4","-0.3","-0.4","0.6","67.0"
"0.1","0.0","-0.2","0.2","67.0"
"0.0","-0.1","-0.2","0.2","67.0"
"-0.1","-0.1","-0.1","0.2","67.0"
"-0.1","0.0","-0.1","0.1","67.0"
"-0.1","0.1","-0.1","0.2","67.1"
"-0.1","0.1","-0.2","0.2","67.1"
"0.0","0.1","-0.1","0.1","67.1"
"0.0","0.0","-0.1","0.1","67.1"
"-0.1","0.0","-0.2","0.2","67.1"
"0.1","-0.1","0.0","0.1","67.2"
"0.0","0.1","-0.2","0.2","67.2"
"0.0","0.1","-0.2","0.2","67.2"
"0.0","0.2","-0.2","0.3","67.2"
"0.0","0.1","0.1","0.1","67.2"
"0.2","0.1","0.2","0.3","67.3"
"0.1","0.1","0.2","0.2","67.3"
"0.0","0.2","0.1","0.2","67.3"
"-0.1","0.3","0.0","0.3","67.3"
"-0.1","0.3","0.0","0.3","67.3"
"-0.3","0.2","-0.1","0.4","67.3"
"-0.2","0.2","0.1","0.3","67.4"
"-0.1","0.2","0.0","0.2","67.4"
"-0.1","0.1","0.0","0.1","67.4"
"-0.1","0.1","-0.1","0.2","67.4"
"-0.1","0.1","0.0","0.1","67.4"
"0.0","0.1","0.0","0.1","67.5"
"-0.1","0.1","0.1","0.2","67.5"
"-0.1","0.0","0.1","0.1","67.5"
"0.0","-0.1","0.0","0.1","67.5"
"0.0","0.0","0.0","0.0","67.5"
"0.0","0.0","-0.1","0.1","67.6"
"0.0","0.0","0.0","0.0","67.6"
"0.0","0.0","0.0","0.0","67.6"
"0.0","0.0","0.1","0.1","67.6"
"0.0","0.0","0.0","0.0","67.6"
"0.0","-0.1","0.0","0.1","67.7"
"0.0","-0.1","0.0","0.1","67.7"
"-0.1","0.0","0.0","0.1","67.7"
"0.0","0.1","0.0","0.1","67.7"
"0.1","0.0","-0.1","0.1","67.7"
"0.2","-0.1","-0.1","0.2","67.8"
"-0.3","0.1","0.0","0.3","67.8"
"0.1","0.3","0.0","0.3","67.8"
"0.1","0.0","0.1","0.1","67.8"
"-0.3","-0.1","-0.1","0.3","67.8"
"0.0","0.2","0.0","0.2","67.8"
"0.0","0.0","0.0","0.0","67.9"
"0.0","0.0","-0.1","0.1","67.9"
"0.0","-0.1","-0.2","0.2","67.9"
"0.1","0.0","0.1","0.1","67.9"
"0.0","0.0","0.0","0.0","67.9"
"-0.1","0.0","0.0","0.1","68.0"
