"X","Y","Z","Acc","Time"
"-0.5","0.3","-0.2","0.6","35.3"
"-0.4","0.3","-0.2","0.5","35.3"
"-0.3","0.3","-0.1","0.4","35.3"
"0.0","0.1","-0.4","0.4","35.3"
"0.1","0.4","0.0","0.4","35.3"
"-0.1","0.0","-0.1","0.1","35.3"
"-0.2","-0.3","-0.2","0.4","35.4"
"-0.1","-0.2","0.5","0.5","35.4"
"-0.3","0.0","0.3","0.4","35.4"
"-0.2","-0.2","0.7","0.8","35.4"
"-0.1","-0.3","0.1","0.3","35.4"
"0.1","-0.2","-0.2","0.3","35.4"
"0.1","0.0","0.2","0.2","35.4"
"0.2","0.0","0.2","0.3","35.4"
"0.2","0.0","-0.1","0.2","35.4"
"0.3","-0.1","-0.1","0.3","35.4"
"0.4","0.1","0.2","0.5","35.4"
"0.4","0.1","0.3","0.5","35.5"
"0.2","0.1","0.1","0.2","35.5"
"0.1","-0.1","-0.1","0.2","35.5"
"0.0","0.0","-0.1","0.1","35.5"
"-0.1","0.0","-0.2","0.2","35.5"
"0.1","-0.1","-0.3","0.3","35.5"
"-0.1","-0.1","-0.1","0.2","35.5"
"0.0","0.0","-0.2","0.2","35.5"
"-0.1","-0.2","-0.4","0.5","35.5"
"0.0","-0.2","-0.2","0.3","35.5"
"0.0","-0.1","0.1","0.1","35.6"
"-0.1","0.0","0.0","0.1","35.6"
"-0.2","-0.2","-0.4","0.5","35.6"
"-0.2","-0.6","-0.6","0.9","35.6"
"0.0","0.1","0.2","0.2","35.6"
"-0.5","0.6","-0.3","0.8","35.6"
"-1.0","0.4","0.1","1.1","35.6"
"-0.8","0.2","0.7","1.1","35.6"
"-0.1","0.0","0.5","0.5","35.6"
"0.1","-0.1","0.2","0.2","35.6"
"0.0","0.1","0.0","0.1","35.6"
"-0.1","0.5","0.0","0.5","35.7"
"-0.1","0.7","0.1","0.7","35.7"
"-0.1","-0.3","-1.3","1.3","35.7"
"0.4","0.3","-0.3","0.6","35.7"
"0.2","0.3","-0.1","0.4","35.7"
"0.1","0.3","-0.1","0.3","35.7"
"0.2","0.4","0.1","0.5","35.7"
"0.2","0.2","-0.4","0.5","35.7"
"0.5","0.3","0.6","0.8","35.7"
"0.1","-0.1","-0.4","0.4","35.7"
"0.3","-0.1","-0.3","0.4","35.8"
"0.2","-0.1","-0.4","0.5","35.8"
"0.0","-0.2","-0.1","0.2","35.8"
"0.0","-0.2","0.0","0.2","35.8"
"0.5","-0.8","0.1","0.9","35.8"
"0.4","-0.9","-0.7","1.2","35.8"
"0.3","-0.5","0.7","0.9","35.8"
"-0.1","-0.2","-0.2","0.3","35.8"
"-0.2","0.1","-1.1","1.1","35.8"
"-0.1","0.0","-0.8","0.8","35.8"
"-0.3","-0.8","0.2","0.9","35.9"
"0.0","-0.8","0.7","1.1","35.9"
"0.3","-0.5","0.6","0.8","35.9"
